FinancialId,dateKey,storeId,Revenue,COGS,operatingExpenses,marketingExpenses,taxAmount,grossProfit,netProfit
64,20240104,4,471.49,280.45,73.65,33.87,17.9,191.04,65.62
65,20240104,5,3268.75,2074.37,499.31,173.68,135.19,1194.38,386.2
66,20240104,6,3685.2,2216.85,753.51,282.84,170.97,1468.35,261.03
67,20240104,7,1861.57,1216.67,301.6,137.87,70.94,644.9,134.49
68,20240104,8,3538.46,2159.34,676.39,239.5,153.29,1379.12,309.94
69,20240104,9,2119.27,1335.36,455.88,120.65,79.17,783.91,128.21
70,20240104,10,693.95,508.86,145.99,25.3,31.03,185.09,-17.23
71,20240104,11,1918.69,1124.71,412.81,92.45,81.7,793.98,207.02
72,20240104,12,2187.74,1423.71,350.17,134.73,70.98,764.03,208.15
73,20240104,13,2865.95,1798.16,562.6,164.6,139.98,1067.79,200.61
74,20240104,14,4125.66,2701.01,734.23,282.19,174.36,1424.65,233.87
75,20240104,15,6443.46,3868.73,1137.88,509.16,244.42,2574.73,683.27
76,20240104,16,1976.01,1204.94,361.86,144.68,87.29,771.07,177.24
77,20240104,17,4743.75,3173.01,965.84,274.32,232.57,1570.74,98.01
78,20240104,18,2733.45,1720.73,554.91,105.12,125.24,1012.72,227.45
79,20240104,19,2252.96,1260.74,274.17,92.77,108.91,992.22,516.37
80,20240104,20,1575.1,846.68,240.78,56.29,69.32,728.42,362.03
81,20240105,1,1252.23,671.83,275.15,43.34,50.37,580.4,211.54
82,20240105,2,1333.14,799.55,239.26,91.24,62.71,533.59,140.38
83,20240105,3,2753.14,1443.3,549.55,175.24,85.89,1309.84,499.16
84,20240105,4,2941.12,1907.7,623.91,228.05,95.25,1033.42,86.21
85,20240105,5,6317.21,4136.26,1193.28,467.69,247.77,2180.95,272.21
86,20240105,7,3561.89,2202.22,692.45,181.37,121.82,1359.67,364.03
87,20240105,8,2980.27,1989.9,480.2,177.46,143.53,990.37,189.18
88,20240105,9,1855.68,1247.02,324.62,119.39,70.76,608.66,93.89
89,20240105,10,2761.84,1678.97,382.23,143.5,123.26,1082.87,433.88
90,20240105,11,1165.01,723.13,160.66,76.41,55.09,441.88,149.72
91,20240105,12,1431.43,1030.45,173.23,81.37,64.39,400.98,81.99
92,20240105,13,2069.75,1228.37,288.55,67.09,92.25,841.38,393.49
93,20240105,14,4053.13,2700.56,842.71,253.8,141.86,1352.57,114.2
94,20240105,15,1871.6,1124.25,290.67,98.95,83.96,747.35,273.77
95,20240105,16,2725.35,1562.53,491.46,152.72,98.43,1162.82,420.21
96,20240105,17,2991.8,1775.47,652.42,105.73,111.62,1216.33,346.56
97,20240105,18,1189.24,748.44,163.63,51.78,45.09,440.8,180.3
98,20240105,19,4209.19,2716.86,866.94,262.25,201.08,1492.33,162.06
99,20240105,20,1454.5,981.4,249.16,61.54,51.18,473.1,111.22
100,20240106,1,3768.18,2379.05,815.42,115.18,117.77,1389.13,340.76
101,20240106,2,3278.5,1819.26,403.4,170.43,149.51,1459.24,735.9
102,20240106,3,2135.09,1327.86,427.12,121.61,82.79,807.23,175.71
103,20240106,4,4573.21,2992.47,705.09,279.81,161.68,1580.74,434.16
104,20240106,5,4985.77,3134.76,599.9,381.43,192.54,1851.01,677.14
105,20240106,6,3017.25,1875.48,461.4,121.71,109.16,1141.77,449.5
106,20240106,7,2008.6,1417.07,370.99,96.79,63.89,591.53,59.86
107,20240106,8,6152.57,4151.32,821.81,314.91,222.21,2001.25,642.32
108,20240106,9,3584.99,2082.91,456.31,172.35,111.62,1502.08,761.8
109,20240106,10,2577.22,1709.71,390.55,173.53,94.09,867.51,209.34
110,20240106,11,1531.43,899.47,300.39,67.11,58.85,631.96,205.61
111,20240106,12,5623.47,3289.55,1014.17,309.19,197.1,2333.92,813.46
112,20240106,13,1751.6,1013.89,361.93,109.54,71.52,737.71,194.72
113,20240106,14,5699.83,3273.61,1019.71,349.58,199.85,2426.22,857.08
114,20240106,15,2992.05,1800.8,585.09,237.75,127.25,1191.25,241.16
115,20240106,16,3806.14,2597.76,600.97,200.07,125.47,1208.38,281.87
116,20240106,17,6167.46,3740.38,1015.05,429.31,304.01,2427.08,678.71
117,20240106,18,3671.19,2476.73,488.63,129.68,127.19,1194.46,448.96
118,20240106,19,3389.61,2178.61,543.64,155.5,165.19,1211.0,346.67
119,20240106,20,3955.04,2510.14,751.22,252.16,134.35,1444.9,307.17
120,20240107,1,793.72,504.71,115.87,34.62,25.35,289.01,113.17
121,20240107,2,5265.66,3269.92,1034.25,289.88,224.06,1995.74,447.55
122,20240107,3,1699.97,977.6,288.44,82.93,52.03,722.37,298.97
123,20240107,4,1279.25,794.77,254.57,68.76,55.87,484.48,105.28
124,20240107,5,2458.01,1373.85,370.57,114.78,79.55,1084.16,519.26
125,20240107,6,2210.19,1425.98,478.37,157.7,71.82,784.21,76.32
126,20240107,7,1990.19,1100.03,412.07,63.86,68.97,890.16,345.26
127,20240107,8,2541.8,1499.52,362.12,88.63,124.59,1042.28,466.94
128,20240107,9,5251.27,3152.55,666.96,377.83,248.42,2098.72,805.51
129,20240107,10,1979.63,1075.8,332.01,67.05,81.05,903.83,423.72
130,20240107,11,2475.59,1635.42,487.49,169.42,92.32,840.17,90.94
131,20240107,12,2068.82,1185.69,436.13,82.65,66.98,883.13,297.37
132,20240107,13,1706.43,1092.43,213.29,111.19,83.91,614.0,205.61
133,20240107,14,4747.89,2951.32,835.06,159.54,227.96,1796.57,574.01
134,20240107,15,723.26,482.36,105.99,24.19,27.14,240.9,83.58
135,20240107,16,7452.24,4784.72,1436.46,311.87,260.31,2667.52,658.88
136,20240107,17,3768.46,2485.67,619.72,234.37,178.92,1282.79,249.78
137,20240107,18,4185.85,2719.0,856.94,134.53,164.79,1466.85,310.59
138,20240107,19,3210.35,1991.41,666.07,194.58,100.15,1218.94,258.14
139,20240107,20,3689.95,2354.79,501.59,218.07,165.43,1335.16,450.07
140,20240108,1,1579.11,1013.43,221.63,124.34,53.55,565.68,166.16
141,20240108,2,3703.02,2475.71,788.5,286.6,121.31,1227.31,30.9
142,20240108,3,1122.61,766.4,184.81,66.65,42.7,356.21,62.05
143,20240108,4,1357.7,804.36,243.14,41.67,66.28,553.34,202.25
144,20240108,5,4771.23,3073.78,894.03,375.81,205.72,1697.45,221.89
145,20240108,6,2400.89,1484.62,416.49,108.41,85.04,916.27,306.33
146,20240108,7,5713.5,3498.96,688.19,324.9,200.7,2214.54,1000.75
147,20240108,8,3517.39,2247.95,562.27,276.93,120.23,1269.44,310.01
148,20240108,9,4035.82,2493.29,760.12,125.78,149.62,1542.53,507.01
149,20240108,10,3416.4,2326.85,425.22,273.28,119.41,1089.55,271.64
150,20240108,11,1607.11,993.59,256.99,92.75,58.06,613.52,205.72
151,20240108,12,2381.84,1701.48,347.9,146.44,95.59,680.36,90.43
152,20240108,13,691.87,488.84,92.93,35.64,21.87,203.03,52.59
153,20240108,14,649.72,407.25,89.28,45.81,29.62,242.47,77.76
154,20240108,15,3945.44,2667.92,584.64,260.39,191.21,1277.52,241.28
155,20240108,16,4130.4,2836.6,815.46,173.26,195.8,1293.8,109.28
156,20240108,17,3250.73,1942.32,611.41,227.17,144.32,1308.41,325.51
157,20240108,18,3482.86,2243.08,633.21,112.47,158.18,1239.78,335.92
158,20240108,19,2522.96,1646.42,434.03,84.6,95.55,876.54,262.36
159,20240108,20,3044.99,1720.14,537.66,167.39,121.84,1324.85,497.96
160,20240109,1,3681.99,2341.53,764.45,145.63,111.6,1340.46,318.78
161,20240109,2,1094.03,725.42,206.98,53.01,50.09,368.61,58.53
162,20240109,3,1849.07,1131.67,399.3,109.66,60.02,717.4,148.42
163,20240109,4,2522.65,1421.83,419.94,130.7,112.15,1100.82,438.03
164,20240109,5,2589.76,1572.27,409.6,97.95,104.13,1017.49,405.81
165,20240109,6,2409.49,1451.49,341.22,93.69,76.51,958.0,446.58
166,20240109,7,4944.52,3018.75,1064.84,312.09,214.77,1925.77,334.07
167,20240109,8,2498.33,1580.07,375.7,189.73,116.58,918.26,236.25
168,20240109,9,3353.54,1952.28,432.65,250.97,137.11,1401.26,580.53
169,20240109,10,2802.05,1538.02,499.8,130.45,95.29,1264.03,538.49
170,20240109,11,3509.84,2123.81,542.02,274.07,126.39,1386.03,443.55
171,20240109,12,1253.42,792.44,164.7,43.66,58.87,460.98,193.75
172,20240109,13,1699.71,1157.53,315.72,62.78,68.43,542.18,95.25
173,20240109,14,1827.21,1107.11,238.99,100.19,73.75,720.1,307.17
174,20240109,15,2315.71,1685.6,310.1,159.87,111.48,630.11,48.66
175,20240109,16,5272.73,3004.37,890.8,210.87,187.01,2268.36,979.68
176,20240109,17,2200.85,1243.88,438.94,113.96,96.2,956.97,307.87
177,20240109,18,604.14,401.87,100.96,33.29,28.44,202.27,39.58
178,20240109,19,3819.04,1918.49,786.99,145.31,124.59,1900.55,843.66
179,20240109,20,2256.02,1315.14,315.71,132.91,86.88,940.88,405.38
180,20240110,1,1325.7,787.39,291.46,86.25,54.89,538.31,105.71
181,20240110,2,2891.35,1861.52,374.36,217.31,114.49,1029.83,323.67
182,20240110,3,3036.93,1862.35,430.32,184.91,109.82,1174.58,449.53
183,20240110,4,4705.02,3231.9,612.72,336.98,142.2,1473.12,381.22
184,20240110,5,4989.55,3505.88,1048.98,344.54,172.08,1483.67,-81.93
185,20240110,6,2168.25,1441.17,382.51,161.4,78.87,727.08,104.3
186,20240110,7,3691.08,2353.94,684.19,195.14,161.67,1337.14,296.14
187,20240110,8,1519.11,977.94,226.91,92.55,61.02,541.17,160.69
188,20240110,9,1448.11,921.41,227.04,94.45,64.74,526.7,140.47
189,20240110,10,1938.58,1157.82,285.68,143.8,77.11,780.76,274.17
190,20240110,11,1629.97,916.6,309.08,92.97,67.42,713.37,243.9
191,20240110,12,2467.63,1628.63,510.17,170.82,74.97,839.0,83.04
192,20240110,13,6993.86,4520.75,1385.17,321.17,330.94,2473.11,435.83
193,20240110,14,3280.08,2072.06,701.36,203.49,152.15,1208.02,151.02
194,20240110,15,3696.93,2078.11,510.98,247.36,117.57,1618.82,742.91
195,20240110,16,5274.7,3318.4,1038.93,366.44,196.25,1956.3,354.68
196,20240110,17,1702.63,1100.94,356.37,102.27,68.29,601.69,74.76
197,20240110,18,3972.07,2523.55,787.48,269.74,174.25,1448.52,217.05
198,20240110,19,1300.61,767.73,216.36,76.74,61.77,532.88,178.01
199,20240110,20,3304.6,2032.34,650.41,148.06,142.98,1272.26,330.81
200,20240111,1,4518.69,2729.69,951.89,226.03,149.83,1789.0,461.25
201,20240111,2,962.1,630.58,119.88,39.48,35.71,331.52,136.45
202,20240111,3,2899.05,2021.35,512.87,197.27,103.47,877.7,64.09
203,20240111,4,2031.24,1328.59,373.58,137.57,82.48,702.65,109.02
204,20240111,5,3674.35,2337.18,768.0,230.31,148.0,1337.17,190.86
205,20240111,6,4762.81,2779.62,991.89,198.01,185.23,1983.19,608.06
206,20240111,7,2907.09,1938.59,517.58,158.69,122.74,968.5,169.49
207,20240111,8,5491.45,3448.29,1175.65,265.98,247.89,2043.16,353.64
208,20240111,9,2810.84,1767.25,370.64,223.8,101.67,1043.59,347.48
209,20240111,10,5868.51,3685.8,761.99,378.06,228.58,2182.71,814.08
210,20240111,11,2407.26,1543.98,481.81,129.93,90.14,863.28,161.4
211,20240111,12,2229.14,1489.66,476.28,95.46,100.2,739.48,67.54
212,20240111,13,8655.31,5316.64,1565.47,302.74,427.29,3338.67,1043.17
213,20240111,14,1833.94,1201.55,340.38,112.19,68.79,632.39,111.03
214,20240111,15,846.79,531.02,170.98,57.89,33.07,315.77,53.83
215,20240111,16,3504.3,2089.62,658.32,126.62,169.45,1414.68,460.29
216,20240111,17,2653.09,1797.03,467.47,116.28,91.42,856.06,180.89
217,20240111,18,2987.6,1719.82,450.41,165.12,143.19,1267.78,509.06
218,20240111,19,3465.24,2186.67,679.88,276.48,169.8,1278.57,152.41
219,20240111,20,3141.82,2095.52,645.71,228.74,98.63,1046.3,73.22
220,20240112,1,985.64,547.22,131.91,74.01,38.66,438.42,193.84
221,20240112,2,911.07,546.41,111.37,69.81,30.25,364.66,153.23
222,20240112,3,1191.47,834.24,256.77,73.7,50.36,357.23,-23.6
223,20240112,4,4004.61,2398.6,800.83,173.37,157.72,1606.01,474.09
224,20240112,5,2721.16,1725.15,559.2,110.68,118.15,996.01,207.98
225,20240112,6,3033.59,2073.14,383.82,188.77,123.35,960.45,264.51
226,20240112,7,1792.95,1319.24,283.92,93.31,71.56,473.71,24.92
227,20240112,8,2280.05,1432.68,454.86,135.56,109.81,847.37,147.14
228,20240112,9,3858.01,2584.99,656.75,285.28,129.84,1273.02,201.15
229,20240112,10,2336.06,1371.3,446.42,105.71,100.89,964.76,311.74
230,20240112,11,962.32,700.59,172.38,36.03,45.24,261.73,8.08
231,20240112,12,1004.94,573.06,180.76,35.11,47.66,431.88,168.35
232,20240112,13,2814.24,1951.87,386.05,180.76,106.88,862.37,188.68
233,20240112,14,2892.38,1880.46,448.07,147.53,108.14,1011.92,308.18
234,20240112,15,2209.25,1500.57,345.22,77.01,79.93,708.68,206.52
235,20240112,16,5107.97,2903.71,630.46,350.06,225.03,2204.26,998.71
236,20240112,17,1705.55,1125.51,366.84,118.24,78.77,580.04,16.19
237,20240112,18,4017.05,2617.27,694.16,306.06,164.99,1399.78,234.57
238,20240112,19,1600.87,1014.61,236.32,66.36,56.84,586.26,226.74
239,20240112,20,2202.51,1564.29,282.41,116.85,105.27,638.22,133.69
240,20240113,1,2068.34,1282.97,346.37,95.97,80.4,785.37,262.63
241,20240113,2,2910.65,1882.84,387.65,137.19,113.08,1027.81,389.89
242,20240113,3,3802.42,2388.62,598.33,300.92,120.9,1413.8,393.65
243,20240113,4,5638.07,3267.25,955.14,283.17,187.08,2370.82,945.43
244,20240113,5,1244.76,790.61,208.09,75.29,47.94,454.15,122.83
245,20240113,6,1430.97,900.51,302.66,58.61,61.81,530.46,107.38
246,20240113,7,1232.56,785.63,265.83,77.16,40.92,446.93,63.02
247,20240113,8,1731.24,1069.32,256.84,54.9,70.41,661.92,279.77
248,20240113,9,3277.57,1908.74,480.07,185.51,140.97,1368.83,562.28
249,20240113,10,2030.18,1366.74,309.56,62.67,87.08,663.44,204.13
250,20240113,11,3757.6,2333.18,621.36,216.82,122.37,1424.42,463.87
251,20240113,12,606.54,405.1,80.53,48.04,30.1,201.44,42.77
252,20240113,13,746.32,438.61,142.87,52.56,23.77,307.71,88.51
253,20240113,14,3279.82,2110.98,408.22,160.94,107.37,1168.84,492.31
254,20240113,15,1626.18,967.16,317.4,77.1,75.99,659.02,188.53
255,20240113,16,984.61,547.82,145.59,36.29,49.01,436.79,205.9
256,20240113,17,2747.78,1877.16,542.5,170.64,120.15,870.62,37.33
257,20240113,18,5155.0,3327.83,709.5,262.01,169.26,1827.17,686.4
258,20240113,19,2493.91,1585.48,371.81,140.4,109.69,908.43,286.53
259,20240113,20,1641.99,873.88,340.26,102.76,81.2,768.11,243.89
260,20240114,1,792.98,512.53,156.82,56.53,27.49,280.45,39.61
261,20240114,2,2903.85,1740.37,457.24,230.86,144.37,1163.48,331.01
262,20240114,3,2872.27,1641.45,585.0,98.61,93.67,1230.82,453.54
263,20240114,4,4551.03,2759.25,568.19,286.38,144.53,1791.78,792.68
264,20240114,5,3549.69,2181.59,682.84,191.95,123.04,1368.1,370.27
265,20240114,6,5601.43,3784.35,895.09,235.8,177.82,1817.08,508.37
266,20240114,7,3223.37,2054.4,435.05,243.22,149.68,1168.97,341.02
267,20240114,8,3288.07,2145.99,415.61,99.32,149.41,1142.08,477.74
268,20240114,9,6810.32,4001.24,1397.18,284.95,253.84,2809.08,873.11
269,20240114,10,258.52,168.41,42.89,12.02,9.01,90.11,26.19
270,20240114,11,4729.66,2754.12,819.28,294.11,222.02,1975.54,640.13
271,20240114,12,2665.73,1599.26,396.02,143.77,94.12,1066.47,432.56
272,20240114,13,2137.89,1298.74,268.3,136.81,67.75,839.15,366.29
273,20240114,14,1242.84,689.16,184.69,43.08,39.16,553.68,286.75
274,20240114,15,5080.45,3424.56,775.46,203.27,194.34,1655.89,482.82
275,20240114,16,1680.66,1039.59,332.27,101.8,74.49,641.07,132.51
276,20240114,17,2867.25,1702.29,612.39,127.0,90.87,1164.96,334.7
277,20240114,18,807.17,459.39,117.61,42.3,32.27,347.78,155.6
278,20240114,19,1718.68,1152.48,371.73,57.39,61.77,566.2,75.31
279,20240114,20,1705.21,1224.84,300.67,77.39,84.58,480.37,17.73
280,20240115,1,2298.25,1538.16,279.53,111.77,110.63,760.09,258.16
281,20240115,2,3309.97,1975.1,552.88,174.75,154.38,1334.87,452.86
282,20240115,3,4150.45,2859.45,820.86,251.53,171.1,1291.0,47.51
283,20240115,4,3517.77,2124.21,710.36,254.46,115.55,1393.56,313.19
284,20240115,5,1821.97,1028.83,284.32,109.82,67.91,793.14,331.09
285,20240115,6,574.53,469.64,71.36,31.64,22.43,104.89,-20.54
286,20240115,7,2203.17,1323.61,401.91,114.93,93.23,879.56,269.49
287,20240115,8,2886.95,1594.3,430.06,118.55,123.4,1292.65,620.64
288,20240115,9,3266.32,1976.23,480.55,119.18,151.58,1290.09,538.78
289,20240115,10,1828.48,1134.45,316.04,125.68,68.41,694.03,183.9
290,20240115,11,4231.81,2434.66,858.75,309.95,195.87,1797.15,432.58
291,20240115,12,3028.45,1763.64,519.32,159.7,93.62,1264.81,492.17
292,20240115,13,2809.76,1815.22,338.36,223.4,126.58,994.54,306.2
293,20240115,14,3053.25,2000.23,563.76,201.25,95.83,1053.02,192.18
294,20240115,15,3966.78,2526.82,645.83,197.68,173.55,1439.96,422.9
295,20240115,16,1368.45,883.01,217.13,41.15,60.9,485.44,166.26
296,20240115,17,3100.51,2031.52,519.02,109.45,149.78,1068.99,290.74
297,20240115,18,844.74,605.66,171.68,29.8,28.27,239.08,9.33
298,20240115,19,1917.17,1178.95,291.7,76.73,86.18,738.22,283.61
299,20240115,20,1521.17,915.1,330.92,69.22,68.65,606.07,137.28
300,20240116,1,4266.37,2457.53,805.35,173.52,166.0,1808.84,663.97
301,20240116,2,1096.47,616.77,198.63,59.28,45.72,479.7,176.07
302,20240116,3,3110.42,2145.54,470.95,139.99,106.15,964.88,247.79
303,20240116,4,1387.32,817.94,226.12,82.52,60.06,569.38,200.68
304,20240116,5,3792.13,2526.66,598.15,152.79,142.31,1265.47,372.22
305,20240116,6,3669.11,2152.02,510.93,262.84,120.75,1517.09,622.57
306,20240116,7,2672.87,1665.71,464.67,127.74,105.25,1007.16,309.5
307,20240116,8,1775.74,1136.55,258.37,126.58,78.71,639.19,175.53
308,20240116,9,2787.22,1650.7,415.78,98.54,123.8,1136.52,498.4
309,20240116,10,2721.76,1828.43,476.47,203.45,123.55,893.33,89.86
310,20240116,11,4108.81,2479.47,816.61,146.46,182.99,1629.34,483.28
311,20240116,12,800.54,519.08,129.51,45.01,33.55,281.46,73.39
312,20240116,13,4115.18,2533.33,770.57,256.98,132.34,1581.85,421.96
313,20240116,14,2082.85,1620.37,260.95,83.33,63.63,462.48,54.57
314,20240116,15,3236.94,1968.06,457.93,190.97,113.98,1268.88,506.0
315,20240116,16,2253.48,1470.75,289.34,112.35,81.36,782.73,299.68
316,20240116,17,2215.19,1422.8,346.0,113.22,72.15,792.39,261.02
317,20240116,18,2987.68,2113.58,508.98,114.26,97.04,874.1,153.82
318,20240116,19,2500.35,1837.93,300.58,94.64,98.84,662.42,168.36
319,20240116,20,4176.53,2580.33,549.79,244.85,175.76,1596.2,625.8
320,20240117,1,1030.97,667.94,176.62,70.16,35.28,363.03,80.97
321,20240117,2,1357.74,811.15,177.19,103.16,58.89,546.59,207.35
322,20240117,3,2667.6,1723.93,419.78,203.66,122.79,943.67,197.44
323,20240117,4,3011.45,2122.65,556.42,94.36,136.8,888.8,101.22
324,20240117,5,479.96,318.46,88.23,35.21,19.78,161.5,18.28
325,20240117,6,3222.73,1903.39,641.23,159.08,129.32,1319.34,389.71
326,20240117,7,3941.33,2386.38,854.03,183.79,191.52,1554.95,325.61
327,20240117,8,4103.56,2420.74,833.36,323.87,145.95,1682.82,379.64
328,20240117,9,2713.49,1707.55,514.25,184.01,81.61,1005.94,226.07
329,20240117,10,3918.49,2564.77,646.84,119.54,156.73,1353.72,430.61
330,20240117,12,1662.65,1050.42,334.51,118.93,60.61,612.23,98.18
331,20240117,13,4473.73,3119.21,968.57,192.41,152.33,1354.52,41.21
332,20240117,14,2042.74,1356.36,333.44,160.48,68.3,686.38,124.16
333,20240117,15,2053.7,1237.66,305.25,80.66,95.75,816.04,334.38
334,20240117,16,3948.27,2744.24,488.96,283.03,142.66,1204.03,289.38
335,20240117,17,2069.16,1374.58,360.97,68.19,71.98,694.58,193.44
336,20240117,18,4078.56,2721.37,856.65,158.31,174.9,1357.19,167.33
337,20240117,19,1453.52,848.91,242.83,58.84,58.65,604.61,244.29
338,20240117,20,8579.6,5196.16,1391.91,584.12,323.12,3383.44,1084.29
339,20240118,1,4775.98,3274.52,944.53,229.76,174.1,1501.46,153.07
340,20240118,2,1621.17,1106.79,198.67,58.03,71.49,514.38,186.19
341,20240118,3,988.95,641.31,144.45,62.07,34.31,347.64,106.81
342,20240118,4,2924.44,1740.13,496.0,96.9,142.26,1184.31,449.15
343,20240118,5,2662.6,1816.32,474.61,109.42,86.82,846.28,175.43
344,20240118,6,3994.98,2320.59,818.13,169.99,120.68,1674.39,565.59
345,20240118,7,4611.32,2997.46,564.5,261.17,203.73,1613.86,584.46
346,20240118,8,2963.41,1597.89,499.12,126.61,124.45,1365.52,615.34
347,20240118,9,2534.99,1831.96,553.43,157.14,100.49,703.03,-108.03
348,20240118,10,3702.05,2196.81,601.1,185.7,117.12,1505.24,601.32
349,20240118,11,4803.8,3022.47,682.97,176.44,145.12,1781.33,776.8
350,20240118,12,2986.25,1943.84,472.16,203.49,110.8,1042.41,255.96
351,20240118,13,966.06,568.96,120.28,37.67,30.43,397.1,208.72
352,20240118,14,5933.04,3546.91,774.92,342.16,238.91,2386.13,1030.14
353,20240118,15,5929.68,3755.9,735.91,332.42,254.73,2173.78,850.72
354,20240118,16,3347.56,2128.78,432.09,217.51,117.07,1218.78,452.11
355,20240118,17,3755.49,2132.66,781.65,297.18,177.92,1622.83,366.08
356,20240118,18,2381.08,1618.0,448.2,75.8,73.04,763.08,166.04
357,20240118,19,2302.85,1328.81,466.85,128.92,84.85,974.04,293.42
358,20240118,20,958.37,577.0,194.6,35.37,35.17,381.37,116.23
359,20240119,1,2438.6,1428.16,459.87,178.67,89.99,1010.44,281.91
360,20240119,2,3668.29,2229.4,716.93,243.28,142.91,1438.89,335.77
361,20240119,3,3904.83,2638.86,675.53,218.92,168.57,1265.97,202.95
362,20240119,4,2202.4,1171.29,325.3,125.37,103.61,1031.11,476.83
